"b'Fevicryl Acrylic Colour- Pearl Metallic Kit - 60 ml (2 Gold, 1 Sliver, 1Bronze, 1 Rust, 1 Copper)'",b'Tk.185'
,
b'Fevicryl Acrylic Colour- Lilac Kit -60 ml (6 Shades)',b'Tk.120'
,
b'Fevicryl Acrylic Color- Sunflower Kit - 150 ml (15ml bottles of 10 shades)',b'Tk.280'
,
b'Rangeela Tempera Colour (3ml x 12 shades)',b'Tk.50'
,
b'Acron Colour Pencil (12 Colours)',b'Tk.110'
,
b'Acron Students Water Colour Pixy Pack 12x5 ml Tubes',b'Tk.135'
,
b'Acron Students Poster Colours Gulliver Kit - 120 ml (10ml bottles of 12 shades)',b'Tk.230'
,
b'Fevigum Synthetic Lime Gum (SQUEEZY) - 22.5 ml',b'Tk.15'
,
b'Fevistik Super Glue Stick - 15 gm',b'Tk.45'
,
b'Fevistik Super Glue Stick - 8 gm',b'Tk.35'
,
b'Fevicol MR Ele Pack White Adhesive - 50 gm',b'Tk.40'
,
b'Fevicol MR Ele Pack White Adhesive - 30 gm',b'Tk.30'
,
b'Fevicol MR White Adhesive (SQUEZEE BOTTLE) - 200 gm',b'Tk.100'
,
b'Fevicol MR White Adhesive (SQUEEZY) - 50 gm',b'Tk.35'
,
b'Fevicol MR White Adhesive (SQUEEZY) - 22.5 gm',b'Tk.20'
,
b'Top One Ball Pen - B (6 Pcs -Black Ink)',b'Tk.36'
,
b'Masnun Dua - Jabal Package (28 Pcs Stickers)',b'Tk.230'
,
b'Al-Nuaim BLACK ORCHID Attar - 6ml (Tohfa Series)',b'Tk.270'
,
b'Khair Natural Olive Miswak',b'Tk.60'
,
b'Al Haramain Aysha -10ml (Pure Perfume)',b'Tk.399'
,
b'Fresh Good Day Ball Pen - 06 Pcs',b'Tk.34'
,
b'Fresh Sailor Ball Pen - 12 Pcs',b'Tk.57'
,
b'Fresh Shine Ball Pen - 12 Pcs (Pouch)',b'Tk.57'
,
b'Fresh Campus Ball Pen - 12 Pcs',b'Tk.57'
,
b'Fresh Math Plain Khata (Standard Large) - 4 Pcs - Sewing Binding-84 Page',b'Tk.133'
,
b'Fresh English Khata (Standard Large) - 4 Pcs - Sewing Binding -84 Page',b'Tk.133'
,
b'Fresh Math Margin Khata (Standard Large) - 4 Pcs - Sweing Binding - 124 Page',b'Tk.160'
,
b'Fresh Math Plain Khata (Standard Large) - 4 Pcs - Sewing Binding -124 Page',b'Tk.160'
,
b'Fresh Bangla Khata (Standard Large) - 4 Pcs - Sweing Binding - 124 Page',b'Tk.160'
,
b'Fresh Math Plain Khata (Standard Large) - 4 Pcs - Sewing Binding -204 Page',b'Tk.258'
,
b'Fresh Math Margin Khata (Standard Large) - 4 Pcs - Stapler Binding -204 Page',b'Tk.247'
,
b'Fresh Math Plain Khata (Standard Large) - 4 Pcs - Stapler Binding -204 Page',b'Tk.247'
,
b'Fresh Math Margin Khata (Student Large) - 4 Pcs - Stapler Binding -84 Page',b'Tk.95'
,
b'Fresh English Khata (Student Large) - 4 Pcs - Stapler Binding-84 Page',b'Tk.95'
,
b'Fresh Bangla Khata (Student Large) - 4 Pcs - Stapler Binding -84 Page',b'Tk.95'
,
b'Fresh Math Plain Khata (Standard Large) - 4 Pcs - Stapler Binding -84 Page',b'Tk.106'
,
b'Fresh English Khata (Standard Large) -4 Pcs - Stapler Binding -84 Page',b'Tk.106'
,
b'Fresh Bangla Khata (Standard Large) - 4 Pcs - Stapler Binding -84 Page',b'Tk.106'
,
