b'RAPOO Wireless Keyboard and Mouse Set (X9310)',"b'Tk. 3,650'",b'Brand: Rapoo\nCategory: Keyboard'
,,
b'Rapoo Wireless Optical MM Combo (8200 P)',"b'Tk. 2,250'",b'Brand: Rapoo\nCategory: Keyboard'
,,
b'Rapoo Wireless Optical MM Combo (X8100)',"b'Tk. 2,050'",b'Brand: Rapoo\nCategory: Keyboard'
,,
b'Rapoo Wireless Optical Combo (8000P)',"b'Tk. 1,550'",b'Brand: Rapoo\nCategory: Keyboard'
,,
b'Rapoo Black Wireless Keyboard and Mouse Combo - X1800S',"b'Tk. 1,400'",b'Brand: Rapoo\nCategory: Keyboard'
,,
b'Rapoo Wireless Optical Mouse and Keyboard (X1960)',"b'Tk. 1,350'",b'Brand: Rapoo\nCategory: Keyboard'
,,
b'Rapoo Black Wireless Keyboard and Mouse Combo (X1900)',"b'Tk. 1,500'",b'Brand: Rapoo\nCategory: Keyboard'
,,
b'HAVIT Wireless Keyboard And Mouse (KB653GCM)',"b'Tk. 1,150'",b'Brand: Havit\nCategory: Keyboard'
,,
