b'Fevistik Super Glue Stick - 22 gm',b'Tk.65',b'\xe0\xa6\xaa\xe0\xa6\xbf\xe0\xa6\xa1\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x9f \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\xaa\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xbe\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x9f\xe0\xa6\xbf \xe0\xa6\x95\xe0\xa7\x87\xe0\xa6\xae\xe0\xa6\xbf\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb2\xe0\xa6\xb8 (\xe0\xa6\xac\xe0\xa6\xbf\xe0\xa6\xa1\xe0\xa6\xbf) \xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xad\xe0\xa7\x87\xe0\xa6\x9f \xe0\xa6\xb2\xe0\xa6\xbf:'
b'Al-Nuaim Perfume Spary SWISS FIRDAUS - 200 ml (Alcohol Free)',b'Tk.285',b'Al-Nuaim'
b'Valentine Gift Voucher',b'Tk. 500 - 10000',b'Rokomari product'
b'Happy Birthday Gift Voucher',b'Tk. 500 - 10000',b'Rokomari product'
b'Fabrilife Premium 7 Layer cotton face Mask  - Denim Color',b'Tk.270',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
b'Fabrilife Premium 7 Layer cotton face Mask  - Grey ST Color',b'Tk.270',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
b'Fabrilife Premium 7 Layer cotton face Mask - Grey Color',b'Tk.271',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
b'Dr. Rhazes Antibacterial and Virucidal Wet Wipes - 40 sheets/pack',b'Tk.200',b'\xe0\xa6\xa1\xe0\xa6\xbe\xe0\xa6\x83 \xe0\xa6\xb0\xe0\xa6\xbe\xe0\xa6\xaf\xe0\xa7\x87\xe0\xa6\xb8\xe0\xa7\x8d'
b'Fabrilife Premium 7 Layer cotton face Mask - White Color',b'Tk.270',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
b'Fabrilife Premium 7 Layer cotton face Mask - Royal Blue Color',b'Tk.270',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xab'
